req,keyword,is_anchor,v
R3,광주피부과,0,"30.55487,19.55724,15.96542,20.63356,24.27429,39.93803,22.98801,19.95882,26.3882,24.1581,23.41609,22.55177,21.54476,19.23312,17.09474,18.24853,24.33749,31.70662,28.8405,19.68158,33.10502,30.17367,25.48515,30.84841,22.26435,26.80406,21.61611,24.11529,27.62149,27.16079,33.68599,29.81898,30.60176,34.3913,49.77372,41.26304"
R3,대전피부과,0,"28.19634,28.6815,24.82876,26.2924,29.91479,34.71746,37.31857,30.38772,31.73312,30.84434,33.02144,63.75978,49.14995,38.61709,34.65427,32.69121,66.64832,58.75122,85.24951,100,63.50497,63.90859,48.86048,47.40296,54.69871,64.44267,33.17433,33.67376,37.0291,45.37671,42.31082,35.78563,43.71738,35.9059,45.38282,46.43264"
R4,서울피부과,1,"25.17208,26.60252,22.19862,22.48266,26.57949,26.48481,26.23403,25.67875,26.98124,24.83942,29.09746,29.1512,25.97302,24.45814,21.93505,22.28562,27.14501,24.54003,24.49397,23.41666,25.09531,24.26367,26.43619,26.54622,22.58246,24.76777,18.57519,20.37923,22.0067,20.717,20.27175,20.18987,20.88077,20.32549,21.98879,21.97855"
R4,울산피부과,0,"21.64333,24.04616,20.55835,22.63363,26.19821,24.92643,33.25827,32.48036,32.31914,24.77033,28.41167,35.70715,35.25166,28.28885,23.54205,25.26932,36.88937,49.31804,40.0087,35.65853,33.31968,33.43483,43.6398,37.5854,41.8025,34.77059,27.24992,32.02743,38.02809,35.02136,35.00857,28.88252,34.24601,29.96494,38.23281,47.25044"
R4,수원피부과,0,"22.92023,24.26622,22.87673,31.52332,32.44453,30.79915,31.10877,31.50029,37.68776,32.72089,33.79308,47.09178,32.03254,30.25921,27.99457,33.16615,53.62982,100,46.46485,33.84426,66.14294,83.61268,78.38992,59.39763,70.44448,75.76447,52.074,40.8429,40.5563,33.85449,43.42229,35.01624,53.27157,47.59845,77.09767,81.76002"
R4,창원피부과,0,"22.42636,23.34757,20.09519,22.15256,27.2141,26.65114,24.65518,32.72601,60.38281,54.74807,26.67673,26.02164,24.72427,23.18892,22.02205,24.35323,32.32682,27.99457,49.02377,30.04171,41.933,42.44223,36.78702,59.05473,34.11039,33.31968,25.60454,35.99375,32.12978,26.99659,31.22393,28.35538,29.56575,23.63673,44.86041,36.91752"
R4,제주피부과,0,"8.18086,9.19675,7.98894,8.78732,10.62207,9.95419,10.3457,10.2587,11.20038,11.09803,11.22086,10.402,9.55756,8.35742,7.82773,8.34463,15.60428,12.94557,17.83566,15.59661,12.82018,15.90624,16.30287,15.43284,19.40172,12.87136,13.15028,16.18004,14.6191,10.0156,13.53412,11.33089,12.17533,13.10422,12.1958,11.13641"
R5,서울피부과,1,"42.29876,44.70244,37.3022,37.77949,44.66374,44.50464,44.08324,43.15015,45.33883,41.73976,48.8949,48.9852,43.64465,41.09907,36.8593,37.4484,45.61403,41.23667,41.15927,39.34898,42.16976,40.77227,44.42294,44.60784,37.94719,41.61936,31.21345,34.24492,36.9797,34.81252,34.06432,33.92672,35.08771,34.15462,36.9496,36.9324"
R5,대구치과,0,"52.58857,78.74957,95.53233,59.12022,38.78998,60.75421,56.04575,40.12297,27.31768,20.82903,18.70485,32.35294,30.41365,27.64017,26.04059,32.03044,44.29824,32.30564,86.9066,82.60663,69.36704,100,62.96439,57.12504,64.31028,75.23649,23.39181,32.40024,27.66167,30.56845,65.49277,19.68094,34.35242,32.03904,64.08668,70.04643"
R5,인천치과,0,"23.22411,32.99363,34.54162,31.20055,22.76831,25.95029,19.83574,25.40419,31.55314,22.73391,22.42862,21.49552,16.62366,22.35982,22.99621,26.51358,24.3378,32.85603,30.41795,21.30632,26.71138,34.92432,43.55005,28.14757,28.64207,22.58771,20.76453,32.69693,35.41021,14.39628,15.30787,13.51909,18.88114,19.53474,24.5528,33.45803"
R5,광주치과,0,"16.16787,16.76556,19.99484,21.21603,23.06071,34.12022,28.10027,20.13673,20.12383,19.17354,21.65892,82.83883,26.74148,25.70519,23.8132,25.87289,37.3237,40.14877,30.78775,25.71809,36.9195,36.11111,21.78792,20.64843,24.6947,33.90522,28.78396,30.79635,19.34984,23.55521,24.3335,22.56621,22.25232,17.52665,31.50584,25.38699"
R5,대전치과,0,"23.38321,31.48004,35.60801,28.19487,31.57464,37.68059,43.24905,33.09683,31.60474,32.79583,34.52012,45.46353,37.1732,36.4938,36.8163,48.9035,67.45356,45.48073,63.12349,58.00653,64.11248,56.94874,58.64293,50.79979,53.99036,52.48968,49.312,47.45442,34.60182,31.10595,43.45975,31.58324,37.3495,28.53887,39.30598,37.72359"
R6,서울피부과,1,"19.31095,20.40832,17.02983,17.24774,20.39065,20.31802,20.12563,19.69964,20.69886,19.05575,22.32234,22.36356,19.9254,18.76325,16.82764,17.09658,20.82449,18.82606,18.79073,17.96427,19.25206,18.61405,20.28072,20.36513,17.3243,19.00078,14.25009,15.63407,16.8826,15.8932,15.55162,15.48881,16.01884,15.59285,16.86886,16.86101"
R6,울산치과,0,"10.43776,14.21083,17.08676,13.98115,11.41146,12.38908,35.20416,24.1539,17.3989,13.53356,14.98036,12.85237,10.09422,12.01217,10.70278,8.98704,11.83352,25.42795,34.34628,41.87475,28.87514,18.10561,27.20848,19.60149,15.11189,15.61248,11.39183,13.28621,13.96152,11.32901,11.9729,10.61248,17.22418,8.78877,8.7495,14.64468"
R6,수원치과,0,"14.30899,17.13977,27.54809,27.56576,36.71181,26.2446,32.69532,29.33451,25.12956,32.32822,51.01491,21.77856,17.00039,13.58853,13.91244,14.69768,31.3506,35.17275,37.72281,32.04554,34.02434,26.37416,49.23439,40.30427,43.8987,38.17824,17.11228,27.00824,21.63133,11.43305,31.96702,17.08676,24.25402,26.15822,40.62819,44.89791"
R6,천안치과,0,"9.47192,10.46525,9.55634,10.52807,12.87985,16.73144,15.80879,19.99411,17.70318,16.42913,16.88457,11.12092,10.49469,10.63604,9.88614,19.24028,19.93718,34.24617,23.19984,18.41774,29.06753,27.56772,83.75932,74.36003,34.34432,19.95484,12.25559,15.71652,14.35414,12.60895,14.82332,17.66588,16.39968,12.49509,12.35178,10.63407"
R6,청주치과,0,"14.25795,20.84609,16.93168,13.55516,15.23949,16.84727,15.16686,15.0687,32.38319,13.85944,12.20062,16.23478,22.68551,15.48488,15.84609,31.28386,33.42756,32.25166,56.60188,41.81782,68.85551,48.01138,100,61.10522,39.62897,29.39929,13.50019,19.0106,18.26069,22.44208,22.35767,8.58264,19.86454,22.64428,21.76285,19.45622"
R7,서울피부과,1,"40.70595,43.01911,35.89754,36.35686,42.98187,42.82876,42.42323,41.52528,43.63154,40.168,47.05371,47.14061,42.00115,39.55143,35.47132,36.03823,43.89638,39.68385,39.60936,37.86725,40.5818,39.23694,42.75014,42.92808,36.51824,40.05213,30.03807,32.95539,35.58718,33.50161,32.78159,32.64917,33.76644,32.86849,35.55822,35.54167"
R7,부산성형외과,0,"15.26524,15.17834,18.12877,20.64056,35.70719,20.00744,18.93569,30.36497,20.13158,17.53289,16.82529,17.7191,18.76603,15.88181,16.89563,18.16601,38.95141,44.78606,25.02275,39.21625,37.55276,45.40676,44.15708,44.15708,60.14234,49.47446,38.96797,33.68782,22.92477,21.11644,23.94272,25.37863,24.2117,29.36356,63.83762,55.97947"
R7,대구성형외과,0,"38.71968,34.76371,40.33766,40.74733,43.34602,34.37474,33.30298,29.31391,32.41744,32.51675,32.08226,36.24927,38.78589,36.94032,43.19705,51.58487,62.40999,70.16883,48.87031,37.61069,45.24538,79.58702,52.01108,75.11379,52.83869,50.01655,35.15683,38.48382,56.43879,49.85103,100,56.74501,29.18977,28.41595,46.59438,44.3226"
R7,인천성형외과,0,"9.02507,9.94786,11.31341,14.54936,12.25688,8.24712,7.97815,14.13556,39.5266,27.03384,13.84176,13.63899,15.67905,9.28991,12.23619,13.68037,24.54274,34.46164,21.36058,28.98286,19.27087,29.47529,27.23661,61.76032,20.72746,11.97136,7.38227,9.94786,8.54092,6.36431,11.7686,10.99892,7.84159,9.19059,9.15749,9.09542"
R7,대전성형외과,0,"14.11073,14.53695,15.89836,17.55358,17.69014,14.85558,14.38384,12.90242,11.92998,12.90656,18.73706,18.52189,20.27642,18.63361,19.39501,20.28055,22.25026,16.92874,28.22146,23.66548,23.70272,19.08052,29.1939,22.24199,23.44616,23.24339,25.10552,28.44078,33.32781,19.21708,21.34403,16.63907,18.77017,15.84457,15.49697,15.228"
R8,서울피부과,1,"51.2237,54.13455,45.17288,45.75088,54.08769,53.89502,53.38471,52.25473,54.90522,50.54676,59.21162,59.32097,52.85357,49.77088,44.63653,45.34992,55.23849,49.93751,49.84378,47.65153,51.06748,49.37513,53.79608,54.01999,45.95396,50.40095,37.79941,41.47052,44.78233,42.15788,41.25182,41.08519,42.49114,41.36117,44.74588,44.72505"
R8,부산한의원,0,"19.74067,54.83753,17.34013,11.36221,11.67465,12.19016,42.55363,44.17829,35.73213,36.44553,31.759,21.38616,16.59029,13.38262,13.52843,13.11705,12.49218,10.91439,13.16913,13.34617,15.28848,17.27765,14.23661,15.42907,15.61133,13.794,12.69527,17.2464,37.6484,31.4674,14.11685,18.0327,13.0806,13.59091,15.8092,13.66902"
R8,대구한의원,0,"15.79879,14.45532,23.79191,19.26161,18.55342,21.04249,28.38471,29.42616,40.92897,29.85315,27.65569,27.17142,17.97542,17.72026,17.387,26.34867,30.6082,24.81774,34.01374,30.09789,14.05436,13.00249,22.06311,22.90147,17.06936,13.88773,11.67465,15.99146,25.33326,20.41762,15.75192,18.64194,15.4499,11.72672,12.50781,13.97625"
R8,인천한의원,0,"48.04207,57.51405,100,54.19183,32.20683,31.93605,41.00187,42.90252,32.30056,27.89002,29.12934,24.90106,27.73901,21.57363,17.98583,17.95459,19.78233,19.95938,21.24557,21.15705,22.54738,21.61528,24.72401,34.57612,26.58821,29.36367,20.70922,19.05852,23.60966,17.82961,20.54259,22.72963,19.12622,15.25203,16.75171,14.13767"
R8,대전한의원,0,"13.54405,14.07519,12.83586,14.30431,14.93438,13.95542,15.40304,20.97479,17.33493,15.86127,16.52259,17.80358,24.01062,15.06977,14.27306,15.42907,16.33513,46.02166,14.56467,13.64819,14.52301,15.13226,25,23.84399,21.86523,39.42928,17.59529,31.23307,16.05394,24.88023,14.58029,14.6584,15.69464,14.57508,26.66111,21.62049"
R9,서울피부과,1,"62.29497,65.83496,54.93635,55.63928,65.77797,65.54366,64.92305,63.54885,66.77221,61.47172,72.00937,72.14235,64.27711,60.52814,54.28408,55.15166,67.1775,60.73079,60.6168,57.95073,62.10499,60.04686,65.42334,65.69564,55.88626,61.2944,45.96922,50.43379,54.4614,51.26971,50.16781,49.96517,51.675,50.3008,54.41707,54.39174"
R9,부산안과,0,"20.52434,18.56753,16.55373,17.37065,20.40402,23.45639,28.9152,20.38502,20.60667,20.55601,26.57843,24.88126,23.51339,20.89164,18.39655,19.68843,29.93477,42.09993,45.26629,34.86796,48.68596,35.02628,57.2098,34.11436,28.28826,32.96814,17.06035,17.59863,23.83636,17.5163,28.16794,21.25261,41.27667,64.18846,41.96694,34.13336"
R9,대구안과,0,"40.85871,43.47413,35.40624,37.31872,39.83281,39.74415,40.20644,38.2623,41.64397,38.33196,45.31695,43.45513,41.94794,40.14311,35.09594,35.62788,41.21968,37.76834,43.11949,39.9088,39.02222,37.96466,40.00379,43.56278,36.25482,45.05097,33.64574,36.09651,38.81324,35.8052,35.52023,35.76087,39.68716,40.19378,41.70096,41.82762"
R9,부산정형외과,0,"22.89911,23.31707,18.49787,28.55423,25.1599,26.43911,28.26293,26.78741,30.5997,33.97504,26.83807,28.50357,27.78798,24.01367,23.24741,25.02691,26.8634,33.45576,34.63998,36.96409,26.39478,24.83059,28.74422,32.90481,27.522,27.05338,18.49787,32.77816,50.78209,48.9646,63.32087,45.60825,26.85707,19.2388,18.20657,18.53587"
R9,대구정형외과,0,"33.62041,32.52485,28.2186,27.82597,28.72522,27.96529,28.47191,27.24336,35.70388,31.45462,30.99867,32.48052,38.64859,33.72807,31.55594,34.56399,34.88062,27.1547,31.77126,31.14432,53.49249,100,74.1055,54.3854,66.22759,65.11937,34.39934,34.67798,28.59223,31.16332,34.80463,33.35444,35.68488,40.26977,37.72402,38.78158"
R10,서울피부과,1,"81.72981,86.37421,72.07544,72.99767,86.29943,85.99202,85.17779,83.37487,87.60385,80.64971,94.4749,94.64938,84.33034,79.41176,71.21967,72.35792,88.13559,79.67763,79.52808,76.03024,81.48055,78.78032,85.83416,86.19142,73.3217,80.41708,60.31073,66.16816,71.4523,67.26487,65.8192,65.55333,67.79661,65.99368,71.39415,71.36091"
R10,부산이비인후과,0,"33.56596,39.19076,33.61581,38.65071,37.88634,37.1552,36.50714,37.10535,39.44832,35.31073,51.10501,55.53339,55.82419,42.04885,36.34097,41.33433,41.74144,31.27284,33.92323,33.08408,32.63542,28.67231,38.31837,45.43868,47.94782,36.34097,47.88135,38.32668,34.53805,37.29644,34.01462,31.28946,30.15121,23.58757,25.27417,27.21003"
R10,대구이비인후과,0,"33.82352,39.58956,31.13991,35.84247,41.47557,55.27583,39.98836,40.0216,39.19076,31.5304,33.22532,39.53971,37.76171,31.27284,27.94948,31.97075,42.24825,27.22665,53.96311,29.61116,35.48521,52.88301,51.32103,37.67032,46.3443,41.33433,73.2303,100,28.78032,33.41641,29.37853,31.00697,33.18378,30.38384,32.73512,33.5992"
