시도,시군구,지도_병원계,지도_CNP차앤박피부과,지도_CU클린업 피부과,지도_가정의학과,지도_국립병원,지도_내과,"지도_노인,요양병원",지도_대학병원,지도_보훈병원,지도_비뇨기과,지도_산부인과,지도_성장클리닉,지도_성형외과,지도_소아청소년과,지도_시도립병원,지도_신경과,지도_신경외과,지도_안과,지도_영상의학과,지도_외과,지도_이비인후과,지도_이지함피부과,지도_일반의원,지도_재활의학과,지도_정신건강의학과,지도_정형외과,지도_종합병원,지도_진단검사의학과,지도_치과,지도_통증클리닉,지도_피부과,지도_한방병원,지도_한의원,지도_항문외과,지도_흉부외과
서울,강북구,465,0,0,3,1,45,5,0,0,9,9,0,6,8,0,1,6,12,1,8,20,0,38,3,10,31,2,0,120,11,20,2,93,1,0
서울,강서구,965,0,0,22,0,84,5,1,0,17,27,0,8,28,0,3,8,24,1,9,44,0,46,10,29,54,4,1,255,17,56,8,200,4,0
서울,관악구,708,0,0,21,0,64,3,0,0,12,24,0,7,17,0,4,4,16,2,6,28,0,34,5,25,44,1,0,203,11,29,4,141,3,0
서울,광진구,589,1,0,13,0,51,2,1,0,8,18,0,4,15,0,0,5,15,1,4,27,0,29,8,24,36,1,0,152,15,35,2,118,3,1
서울,구로구,622,0,0,18,0,56,10,1,0,10,15,0,7,18,0,0,5,19,3,5,28,0,34,5,12,39,1,0,174,10,26,2,120,2,2
서울,금천구,370,0,0,4,0,33,4,0,0,5,8,0,1,9,0,0,1,9,1,2,16,0,27,5,13,28,3,0,109,5,8,5,73,1,0
서울,노원구,763,1,0,17,0,64,8,2,0,14,24,0,8,25,0,5,3,22,4,12,34,1,42,7,21,46,1,0,197,12,40,4,147,2,0
서울,도봉구,374,0,0,7,0,33,8,0,0,4,9,0,0,12,0,0,2,7,1,7,15,0,25,5,8,21,1,0,103,7,13,4,81,1,0
서울,동대문구,646,0,0,7,0,50,6,1,0,8,21,0,4,15,1,3,5,19,3,4,27,0,30,7,19,46,2,0,170,9,25,3,161,0,0
서울,동작구,610,0,0,16,0,49,1,1,0,6,17,0,6,15,0,1,6,15,2,4,33,0,25,8,21,36,1,0,174,7,31,2,130,1,2
서울,마포구,783,0,0,15,0,55,4,0,0,15,25,0,11,16,0,1,4,16,3,5,35,1,38,5,45,35,0,0,198,7,97,3,145,3,1
서울,서대문구,464,1,0,11,0,36,6,1,0,7,14,0,6,12,0,3,2,16,2,7,21,0,22,6,10,24,1,1,131,6,27,2,87,2,0
서울,서초구,1618,0,1,21,0,78,6,1,0,32,50,1,198,33,2,9,6,49,6,18,40,1,87,17,76,59,1,0,322,15,211,7,268,2,1
서울,성동구,503,0,0,12,0,38,3,3,0,8,12,0,0,18,0,2,6,12,1,6,20,0,29,5,17,27,1,0,124,13,40,2,102,1,1
서울,성북구,577,1,0,15,0,48,10,2,0,6,14,0,6,20,0,3,2,15,1,6,23,0,35,5,19,35,0,0,154,15,18,2,121,0,1
서울,송파구,1316,0,0,24,1,94,8,0,0,21,37,0,11,39,0,10,7,32,5,10,55,0,77,13,62,75,1,3,330,24,99,10,262,4,2
